epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.82,3.79112,5.28509,3.68812,0.75902,0.20601,0.17875,0.0556,2.84246,2.3783,2.07425,0.000554542,0.000554542,0.000554542
2,403.236,2.86785,3.06605,2.45857,0.19491,0.19313,0.13541,0.03833,2.73094,2.52651,1.84358,0.00109922,0.00109922,0.00109922
3,587.118,2.57188,2.5233,2.16358,0.21862,0.36716,0.25085,0.08648,2.30637,1.57886,1.58343,0.00163289,0.00163289,0.00163289
4,787.254,2.45761,2.2497,2.08145,0.76761,0.27468,0.28651,0.11039,2.17671,1.49863,1.50791,0.00161749,0.00161749,0.00161749
5,987.276,2.35999,2.10813,1.9712,0.87991,0.33047,0.35046,0.14239,2.08547,1.37004,1.4651,0.00160099,0.00160099,0.00160099
6,1176.11,2.31568,2.02283,1.89928,0.24712,0.38044,0.23363,0.08604,2.22622,1.5616,1.50192,0.00158448,0.00158448,0.00158448
7,1365.26,2.23175,1.92982,1.84027,0.78943,0.27431,0.29919,0.11483,2.235,1.56869,1.47811,0.00156798,0.00156798,0.00156798
8,1552.49,2.21307,1.89229,1.8089,0.80332,0.28326,0.34108,0.11364,2.32095,1.49088,1.54093,0.00155148,0.00155148,0.00155148
9,1738.79,2.17136,1.84173,1.79699,0.41406,0.33517,0.32717,0.11324,2.40167,1.43216,1.55848,0.00153497,0.00153497,0.00153497
10,1922.97,2.07643,1.762,1.72756,0.25447,0.4345,0.33291,0.13402,2.22573,1.49908,1.49041,0.00151847,0.00151847,0.00151847
11,2106.36,2.06242,1.73,1.69564,0.40188,0.52269,0.39535,0.14951,2.08767,1.42918,1.42633,0.00150197,0.00150197,0.00150197
12,2293.79,2.03247,1.70987,1.67531,0.83443,0.29614,0.29217,0.11589,2.13833,1.40182,1.44207,0.00148546,0.00148546,0.00148546
13,2488.37,2.04938,1.70764,1.6805,0.42845,0.46025,0.40583,0.15928,2.09511,1.27713,1.40824,0.00146896,0.00146896,0.00146896
14,2677.42,1.98213,1.66403,1.64851,0.45333,0.46993,0.38279,0.14144,2.17748,1.44667,1.4567,0.00145246,0.00145246,0.00145246
15,2862.77,1.96534,1.64061,1.642,0.36114,0.47074,0.35162,0.13647,2.17678,1.46048,1.45802,0.00143595,0.00143595,0.00143595
16,3052.75,1.94352,1.62614,1.62101,0.39772,0.43235,0.37969,0.15614,2.1385,1.51772,1.43226,0.00141945,0.00141945,0.00141945
17,3245.32,1.93,1.63379,1.62079,0.44559,0.48876,0.40606,0.16946,2.16442,1.34519,1.4295,0.00140295,0.00140295,0.00140295
18,3437.51,1.905,1.61043,1.59812,0.41267,0.50981,0.44462,0.16634,2.08525,1.294,1.39962,0.00138644,0.00138644,0.00138644
19,3633.1,1.87807,1.54245,1.57524,0.54052,0.4019,0.41822,0.17173,1.99911,1.32766,1.36724,0.00136994,0.00136994,0.00136994
20,3826.06,1.85994,1.51658,1.54539,0.50363,0.41539,0.44221,0.1626,2.38563,1.47167,1.53699,0.00135344,0.00135344,0.00135344
21,4015.64,1.84955,1.51023,1.56042,0.50087,0.44063,0.41307,0.13683,2.32226,1.58364,1.52367,0.00133693,0.00133693,0.00133693
22,4203.87,1.86396,1.50734,1.54166,0.38866,0.61169,0.43006,0.18594,2.0117,1.28957,1.35729,0.00132043,0.00132043,0.00132043
