epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.293,3.25712,5.16258,3.93501,0.39854,0.27059,0.21389,0.0843,2.31848,3.70314,2.45192,0.000554542,0.000554542,0.000554542
2,193.494,2.4446,2.99332,2.65862,0.23099,0.26824,0.20392,0.07429,2.18141,1.91842,2.18312,0.00110471,0.00110471,0.00110471
3,281.053,2.29095,2.60744,2.49553,0.15783,0.24893,0.1467,0.04335,2.43011,2.13352,2.27953,0.00164938,0.00164938,0.00164938
4,368.482,2.22115,2.32011,2.33943,0.52386,0.35214,0.35498,0.14306,1.81776,1.60752,1.88384,0.00164225,0.00164225,0.00164225
5,455.838,2.15839,2.19092,2.26023,0.73642,0.26824,0.25077,0.09633,2.03074,1.6207,2.02926,0.00163399,0.00163399,0.00163399
6,543.479,2.1111,2.0839,2.19412,0.23047,0.43368,0.31317,0.11904,1.95442,1.64487,1.97938,0.00162574,0.00162574,0.00162574
7,630.926,2.06651,2.02915,2.16792,0.68038,0.39485,0.31883,0.11518,1.92088,1.59343,1.91341,0.00161749,0.00161749,0.00161749
8,718.574,2.0547,1.97756,2.14455,0.25775,0.40149,0.32048,0.12622,1.93424,1.59099,1.94604,0.00160924,0.00160924,0.00160924
9,805.563,2.01614,1.93483,2.09034,0.63605,0.33303,0.32421,0.1026,2.27911,1.61948,2.18248,0.00160099,0.00160099,0.00160099
10,892.425,1.99601,1.87433,2.07819,0.83952,0.28541,0.35622,0.14363,1.97787,1.54562,1.95823,0.00159274,0.00159274,0.00159274
11,979.814,1.98094,1.88347,2.07333,0.43126,0.50337,0.40701,0.15366,2.06119,1.36714,2.03707,0.00158448,0.00158448,0.00158448
12,1067.42,1.95019,1.83924,2.04193,0.51614,0.374,0.37152,0.14106,1.91206,1.58333,1.91291,0.00157623,0.00157623,0.00157623
13,1154.91,1.92696,1.77306,1.99357,0.35576,0.49908,0.38826,0.14733,1.86466,1.6043,1.8691,0.00156798,0.00156798,0.00156798
14,1242.83,1.89708,1.75638,1.97056,0.33883,0.42121,0.38768,0.17052,1.86866,1.4221,1.87418,0.00155973,0.00155973,0.00155973
15,1329.24,1.88581,1.74228,1.97872,0.39007,0.42806,0.33923,0.12511,2.13216,1.65241,2.05258,0.00155148,0.00155148,0.00155148
16,1415.34,1.88711,1.74538,1.96288,0.40198,0.50034,0.39969,0.16047,1.89284,1.4907,1.87776,0.00154323,0.00154323,0.00154323
17,1505.14,1.83747,1.67979,1.91871,0.48295,0.42742,0.43961,0.1824,1.88335,1.51124,1.87283,0.00153497,0.00153497,0.00153497
18,1591.29,1.82787,1.66737,1.92987,0.37914,0.5188,0.36164,0.15016,2.01281,1.54599,1.96145,0.00152672,0.00152672,0.00152672
19,1677.82,1.8092,1.67081,1.91341,0.50107,0.49223,0.52977,0.22936,1.79232,1.41961,1.78505,0.00151847,0.00151847,0.00151847
20,1764.27,1.81583,1.66995,1.93262,0.49182,0.42356,0.40266,0.16967,1.91527,1.56679,1.89764,0.00151022,0.00151022,0.00151022
21,1850.24,1.78206,1.63713,1.91219,0.33325,0.46475,0.36249,0.13767,2.14711,1.63507,2.15861,0.00150197,0.00150197,0.00150197
22,1936.76,1.78845,1.61568,1.9015,0.50637,0.52544,0.42257,0.15957,2.09779,1.4066,2.08407,0.00149372,0.00149372,0.00149372
23,2023.03,1.76523,1.5559,1.85599,0.36456,0.60076,0.41506,0.17205,1.9526,1.49868,1.9396,0.00148546,0.00148546,0.00148546
24,2109.28,1.75666,1.57611,1.84881,0.42549,0.59546,0.44072,0.17122,1.85705,1.46716,1.84942,0.00147721,0.00147721,0.00147721
25,2195.28,1.73132,1.52016,1.84136,0.50884,0.56898,0.44185,0.17664,2.07037,1.45632,2.05606,0.00146896,0.00146896,0.00146896
26,2281.47,1.7366,1.51942,1.83577,0.55008,0.5186,0.54942,0.22299,1.85517,1.4291,1.81052,0.00146071,0.00146071,0.00146071
27,2368.01,1.72018,1.52039,1.81068,0.51319,0.503,0.47301,0.21415,2.05915,1.39572,2.02177,0.00145246,0.00145246,0.00145246
28,2454.32,1.70983,1.5025,1.81874,0.40954,0.51471,0.44551,0.20088,2.0863,1.43853,2.02726,0.00144421,0.00144421,0.00144421
29,2540.51,1.69285,1.51863,1.82514,0.59781,0.52029,0.52426,0.2267,1.91525,1.4306,1.92453,0.00143595,0.00143595,0.00143595
30,2626.72,1.70308,1.47249,1.82117,0.46531,0.59044,0.46508,0.16882,2.19223,1.60515,2.15698,0.0014277,0.0014277,0.0014277
31,2713.06,1.67415,1.46323,1.77616,0.59919,0.52755,0.49279,0.19539,1.99076,1.59938,1.93038,0.00141945,0.00141945,0.00141945
32,2799.38,1.68955,1.41711,1.78138,0.42429,0.52334,0.46732,0.18854,2.08914,1.38817,2.05394,0.0014112,0.0014112,0.0014112
33,2885.5,1.70588,1.50487,1.80993,0.35056,0.48948,0.34514,0.1428,2.08275,1.5023,2.04197,0.00140295,0.00140295,0.00140295
34,2971.79,1.65177,1.41234,1.77438,0.54909,0.53685,0.50512,0.20783,2.00896,1.26651,1.95792,0.0013947,0.0013947,0.0013947
35,3058.41,1.65884,1.38949,1.76031,0.58674,0.54233,0.47873,0.20064,2.11569,1.42914,2.08283,0.00138644,0.00138644,0.00138644
36,3144.86,1.64699,1.38567,1.72439,0.52276,0.52974,0.46833,0.21268,2.0073,1.29965,1.95982,0.00137819,0.00137819,0.00137819
37,3231.12,1.64555,1.39046,1.73228,0.53267,0.60719,0.51126,0.21335,1.84624,1.28615,1.81423,0.00136994,0.00136994,0.00136994
38,3317.47,1.63413,1.383,1.74055,0.61029,0.57795,0.55938,0.23621,1.84153,1.27269,1.81381,0.00136169,0.00136169,0.00136169
39,3404.37,1.64346,1.40613,1.73687,0.57057,0.55831,0.48408,0.22333,2.0512,1.34922,2.00085,0.00135344,0.00135344,0.00135344
40,3491.06,1.62292,1.35921,1.71329,0.58112,0.4954,0.4849,0.2155,1.99337,1.40252,1.9694,0.00134519,0.00134519,0.00134519
41,3577.57,1.61519,1.34269,1.71563,0.60331,0.5504,0.53652,0.23505,2.08193,1.29691,2.04119,0.00133693,0.00133693,0.00133693
42,3664.04,1.62986,1.37753,1.74492,0.58722,0.57758,0.52221,0.20244,1.98541,1.48447,1.94902,0.00132868,0.00132868,0.00132868
