epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.269,3.19197,4.71173,3.37174,0.79238,0.21888,0.22329,0.09129,2.38882,2.47963,2.35062,0.000555104,0.000555104,0.000555104
2,445.885,2.53945,3.06995,2.51094,0.15503,0.30258,0.18371,0.06141,2.43696,2.10816,2.2443,0.00110527,0.00110527,0.00110527
3,659.096,2.38118,2.61182,2.33594,0.29002,0.32209,0.26957,0.09745,2.18132,1.85336,2.07874,0.00164994,0.00164994,0.00164994
4,877.625,2.28392,2.43288,2.25433,0.27423,0.26588,0.26096,0.10461,2.1356,1.9971,2.00971,0.00164225,0.00164225,0.00164225
5,1096.46,2.22918,2.25044,2.18013,0.37261,0.35847,0.32181,0.12276,2.08069,1.68664,1.95374,0.00163399,0.00163399,0.00163399
6,1314.25,2.16953,2.1931,2.11318,0.32283,0.30063,0.27151,0.09737,2.12037,1.72746,1.97092,0.00162574,0.00162574,0.00162574
7,1534.05,2.12864,2.09163,2.06852,0.80876,0.30043,0.31518,0.12082,1.99535,1.63108,1.90672,0.00161749,0.00161749,0.00161749
8,1752.98,2.08543,1.99177,1.99215,0.35424,0.45299,0.35591,0.13775,2.03924,1.53551,1.92954,0.00160924,0.00160924,0.00160924
9,1968.09,2.09238,2.04097,2.0205,0.29888,0.42081,0.35834,0.14022,1.90398,1.51669,1.82613,0.00160099,0.00160099,0.00160099
10,2179.18,2.02644,1.97314,1.9856,0.33029,0.30258,0.34976,0.14949,1.90787,1.59636,1.81793,0.00159274,0.00159274,0.00159274
11,2389.94,2.0058,1.90433,1.94648,0.32121,0.30687,0.331,0.12997,1.99598,1.51213,1.8798,0.00158448,0.00158448,0.00158448
12,2600.69,2.00511,1.9254,1.95509,0.49156,0.45616,0.45041,0.18989,1.79605,1.47855,1.74508,0.00157623,0.00157623,0.00157623
13,2811.67,1.9649,1.87096,1.91522,0.22727,0.42806,0.27973,0.0966,2.37263,1.75174,2.20021,0.00156798,0.00156798,0.00156798
14,3022.15,1.93266,1.79924,1.88651,0.33725,0.55293,0.43594,0.15799,2.03466,1.42257,1.91015,0.00155973,0.00155973,0.00155973
15,3233.07,1.92226,1.7854,1.87281,0.55694,0.4015,0.4003,0.17632,1.91921,1.73732,1.82323,0.00155148,0.00155148,0.00155148
16,3444.01,1.88873,1.78035,1.8617,0.43911,0.42573,0.40754,0.17103,2.02155,1.6831,1.94503,0.00154323,0.00154323,0.00154323
17,3654.88,1.87712,1.74158,1.8345,0.26112,0.53791,0.34609,0.13881,2.06487,1.6225,1.91262,0.00153497,0.00153497,0.00153497
18,3865.69,1.86513,1.75065,1.83101,0.41928,0.37327,0.34012,0.1361,2.13287,1.70044,2.00366,0.00152672,0.00152672,0.00152672
19,4076.63,1.85109,1.71478,1.80714,0.49009,0.5186,0.44277,0.19486,1.88172,1.90698,1.79095,0.00151847,0.00151847,0.00151847
20,4287.14,1.83953,1.70209,1.80406,0.34251,0.49479,0.40506,0.17523,1.92065,1.55455,1.82075,0.00151022,0.00151022,0.00151022
21,4498.04,1.84177,1.6955,1.80368,0.43833,0.4064,0.3917,0.15983,2.10843,1.57607,2.01947,0.00150197,0.00150197,0.00150197
22,4708.78,1.79264,1.63567,1.76357,0.55506,0.47118,0.46615,0.21095,1.87005,1.39381,1.80089,0.00149372,0.00149372,0.00149372
23,4919.5,1.79235,1.64598,1.78186,0.53702,0.49978,0.44839,0.17384,2.07073,1.54563,1.95254,0.00148546,0.00148546,0.00148546
24,5130.16,1.76803,1.6343,1.74611,0.48861,0.39996,0.41696,0.17706,2.01482,1.47126,1.88656,0.00147721,0.00147721,0.00147721
25,5340.59,1.76621,1.57814,1.74558,0.60767,0.44894,0.50035,0.20961,1.97526,1.39898,1.85262,0.00146896,0.00146896,0.00146896
26,5551.51,1.76227,1.61542,1.72962,0.42007,0.54,0.47479,0.21008,1.7468,1.38527,1.67411,0.00146071,0.00146071,0.00146071
27,5762.46,1.75151,1.58242,1.71664,0.5936,0.48835,0.49678,0.23614,1.82319,1.31989,1.73445,0.00145246,0.00145246,0.00145246
28,5973.35,1.72944,1.59683,1.71103,0.47445,0.45616,0.46732,0.20186,2.1437,1.46322,2.0176,0.00144421,0.00144421,0.00144421
29,6184.06,1.72554,1.56032,1.69963,0.54469,0.55112,0.53373,0.23646,1.86165,1.41543,1.76701,0.00143595,0.00143595,0.00143595
30,6394.85,1.71542,1.54223,1.67347,0.63785,0.50326,0.50094,0.22779,1.96809,1.32441,1.83937,0.0014277,0.0014277,0.0014277
31,6605.47,1.72267,1.50458,1.68287,0.55542,0.53362,0.49191,0.22757,1.74408,1.3414,1.68569,0.00141945,0.00141945,0.00141945
32,6815.89,1.70024,1.5296,1.66609,0.45168,0.42281,0.3999,0.17407,1.87081,1.60901,1.79461,0.0014112,0.0014112,0.0014112
33,7026.83,1.69043,1.48016,1.64645,0.57796,0.44543,0.49014,0.19829,2.0435,1.46762,1.91406,0.00140295,0.00140295,0.00140295
34,7237.38,1.66198,1.49887,1.64569,0.48767,0.56376,0.48433,0.21606,2.04077,1.39311,1.90084,0.0013947,0.0013947,0.0013947
35,7448.18,1.67141,1.44477,1.61769,0.44592,0.48661,0.43151,0.19074,1.96326,1.38477,1.87526,0.00138644,0.00138644,0.00138644
36,7659.04,1.66938,1.47325,1.63403,0.6092,0.54261,0.58242,0.30555,1.84883,1.31032,1.75516,0.00137819,0.00137819,0.00137819
37,7869.9,1.67294,1.49363,1.66154,0.64299,0.55334,0.56819,0.27546,1.80401,1.25952,1.70707,0.00136994,0.00136994,0.00136994
38,8080.79,1.65373,1.45561,1.63109,0.48958,0.60311,0.52118,0.25336,1.86807,1.31996,1.75816,0.00136169,0.00136169,0.00136169
39,8291.41,1.6265,1.41665,1.59661,0.60018,0.57703,0.56624,0.27493,1.91136,1.40064,1.82237,0.00135344,0.00135344,0.00135344
40,8502.08,1.62859,1.40835,1.60528,0.68765,0.53188,0.57799,0.28034,1.79439,1.28583,1.74217,0.00134519,0.00134519,0.00134519
41,8712.81,1.62157,1.41129,1.60783,0.55249,0.51857,0.53904,0.25058,1.94317,1.336,1.81706,0.00133693,0.00133693,0.00133693
42,8924,1.64758,1.41756,1.61311,0.53903,0.52834,0.54913,0.23821,1.92176,1.43953,1.83294,0.00132868,0.00132868,0.00132868
43,9134.68,1.61944,1.38758,1.59393,0.59146,0.55784,0.55144,0.25471,1.98699,1.33697,1.88296,0.00132043,0.00132043,0.00132043
44,9345.67,1.59314,1.34827,1.57692,0.57091,0.52774,0.53034,0.24428,1.95721,1.44388,1.85353,0.00131218,0.00131218,0.00131218
45,9556.58,1.6156,1.36922,1.5771,0.48453,0.60929,0.52897,0.25844,2.02222,1.41844,1.94695,0.00130393,0.00130393,0.00130393
46,9767.49,1.58,1.36053,1.55509,0.61188,0.55375,0.58596,0.28964,1.87127,1.26899,1.78008,0.00129568,0.00129568,0.00129568
47,9978.23,1.59236,1.40964,1.5909,0.5386,0.59245,0.52025,0.25712,1.99444,1.41171,1.87051,0.00128742,0.00128742,0.00128742
48,10189,1.58671,1.3628,1.57031,0.57853,0.59023,0.58742,0.28011,1.88121,1.37731,1.79394,0.00127917,0.00127917,0.00127917
49,10399.4,1.59527,1.36551,1.57315,0.57966,0.5029,0.53871,0.26641,1.90317,1.32812,1.79639,0.00127092,0.00127092,0.00127092
50,10609.8,1.59811,1.34296,1.57176,0.61241,0.53836,0.56779,0.26787,1.9131,1.28585,1.82473,0.00126267,0.00126267,0.00126267
51,10820.6,1.5768,1.3483,1.5559,0.55591,0.66653,0.59828,0.29791,1.9761,1.32077,1.87843,0.00125442,0.00125442,0.00125442
52,11031.2,1.56639,1.31249,1.54951,0.64262,0.60524,0.60235,0.30937,1.7873,1.28042,1.69468,0.00124617,0.00124617,0.00124617
53,11242.2,1.57688,1.3194,1.58098,0.55727,0.49111,0.51858,0.2411,2.16534,1.42968,2.08641,0.00123791,0.00123791,0.00123791
54,11453.6,1.53597,1.32902,1.52949,0.65862,0.59902,0.61549,0.32407,1.88906,1.24766,1.81105,0.00122966,0.00122966,0.00122966
55,11664.5,1.55408,1.30526,1.54937,0.70509,0.58842,0.66271,0.31518,1.92493,1.21476,1.84199,0.00122141,0.00122141,0.00122141
56,11875.4,1.54014,1.28346,1.53548,0.69038,0.58387,0.61021,0.30627,1.91289,1.32892,1.81617,0.00121316,0.00121316,0.00121316
57,12086,1.51766,1.26367,1.53304,0.69864,0.52981,0.56647,0.29458,2.11361,1.29792,1.9858,0.00120491,0.00120491,0.00120491
58,12296.8,1.52997,1.27244,1.52976,0.54628,0.52609,0.53509,0.2458,2.09273,1.38871,1.9632,0.00119666,0.00119666,0.00119666
59,12507.4,1.53738,1.26479,1.52733,0.61847,0.60979,0.60141,0.30538,2.08101,1.27548,1.99554,0.0011884,0.0011884,0.0011884
60,12718.3,1.53651,1.27703,1.53213,0.61828,0.58155,0.62699,0.31641,1.85551,1.27767,1.77898,0.00118015,0.00118015,0.00118015
61,12929.3,1.53012,1.30077,1.53342,0.65904,0.55375,0.56973,0.29401,1.98926,1.39322,1.88009,0.0011719,0.0011719,0.0011719
