epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.89,3.19947,4.75717,3.39559,0.19909,0.29849,0.20555,0.06844,2.36171,2.8278,2.30596,0.000555104,0.000555104,0.000555104
2,221.494,2.54751,3.1231,2.55515,0.17392,0.27897,0.16328,0.05264,2.34278,2.3034,2.15744,0.00110527,0.00110527,0.00110527
3,321.502,2.39881,2.64013,2.33763,0.28155,0.27897,0.26984,0.10204,2.0821,1.82704,2.0153,0.00164994,0.00164994,0.00164994
4,420.392,2.32229,2.45428,2.24571,0.29019,0.34684,0.25449,0.08556,2.28098,1.94078,2.08612,0.00164225,0.00164225,0.00164225
5,518.982,2.2026,2.26003,2.13929,0.36633,0.34043,0.29599,0.11431,2.10747,1.80357,2.0081,0.00163399,0.00163399,0.00163399
6,618.09,2.15283,2.1815,2.09498,0.43366,0.35643,0.40489,0.15713,1.94459,1.55156,1.86232,0.00162574,0.00162574,0.00162574
7,717.03,2.12151,2.10042,2.05686,0.30457,0.32659,0.28932,0.11126,2.13495,1.77148,2.0053,0.00161749,0.00161749,0.00161749
8,816.319,2.11143,2.04374,2.02496,0.59321,0.43725,0.41434,0.15793,1.88407,1.5129,1.796,0.00160924,0.00160924,0.00160924
9,914.304,2.04978,1.97679,1.97114,0.30586,0.44737,0.2896,0.09303,2.2306,1.75264,2.05521,0.00160099,0.00160099,0.00160099
10,1012.1,2.02693,1.96933,1.93719,0.33823,0.39886,0.34794,0.15513,1.95799,1.7903,1.87862,0.00159274,0.00159274,0.00159274
11,1109.87,2.00044,1.8919,1.92136,0.36069,0.35449,0.34429,0.13839,1.84887,2.26888,1.79618,0.00158448,0.00158448,0.00158448
12,1207.82,1.99782,1.87203,1.90729,0.37731,0.486,0.41464,0.16125,1.84762,1.56001,1.76854,0.00157623,0.00157623,0.00157623
13,1306.78,1.94604,1.81762,1.86203,0.42459,0.36542,0.34704,0.13255,2.04435,1.67187,1.92905,0.00156798,0.00156798,0.00156798
14,1411.31,1.95072,1.81916,1.85535,0.4286,0.45596,0.39892,0.16178,1.8482,1.56476,1.78767,0.00155973,0.00155973,0.00155973
15,1512.95,1.89562,1.73863,1.81448,0.42977,0.30072,0.34289,0.1345,2.03281,1.82177,1.91611,0.00155148,0.00155148,0.00155148
16,1612.48,1.8759,1.70443,1.79297,0.4302,0.39587,0.36732,0.15675,1.92855,1.69461,1.858,0.00154323,0.00154323,0.00154323
