epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.198,3.33497,4.51413,3.55183,0.75058,0.23176,0.21986,0.08356,2.26451,2.44284,2.27771,0.000554542,0.000554542,0.000554542
2,229.905,2.5126,2.85935,2.49746,0.24969,0.22767,0.19171,0.07146,2.29938,6.87508,2.22183,0.00110654,0.00110654,0.00110654
3,334.925,2.34185,2.49949,2.29931,0.20906,0.24719,0.14069,0.04071,2.40419,2.52437,2.22999,0.00165488,0.00165488,0.00165488
4,440.074,2.23434,2.23477,2.19026,0.83542,0.27468,0.32187,0.12627,1.96624,1.68898,1.89392,0.0016505,0.0016505,0.0016505
5,545.351,2.1487,2.11665,2.11331,0.27427,0.4862,0.26712,0.08506,2.23964,1.65759,2.07258,0.001645,0.001645,0.001645
6,650.247,2.08466,1.98137,2.00687,0.25448,0.49264,0.28832,0.10924,2.06322,1.6293,1.94089,0.00163949,0.00163949,0.00163949
7,755.311,2.04986,1.94303,1.97601,0.51225,0.39955,0.4189,0.16734,1.90403,1.52382,1.81499,0.00163399,0.00163399,0.00163399
8,860.323,2.01899,1.87186,1.93724,0.52576,0.36307,0.39763,0.17047,1.85268,1.6805,1.77689,0.00162849,0.00162849,0.00162849
9,965.362,1.98982,1.83843,1.90404,0.33556,0.44972,0.37645,0.12238,2.263,1.6386,2.1355,0.00162299,0.00162299,0.00162299
10,1070.34,1.94153,1.77546,1.88324,0.4436,0.5186,0.45563,0.18051,2.03639,1.4762,1.91621,0.00161749,0.00161749,0.00161749
11,1177.13,1.92587,1.76468,1.86783,0.6787,0.44,0.4344,0.17055,2.03976,1.56093,1.9549,0.00161199,0.00161199,0.00161199
12,1282.17,1.89214,1.70735,1.8364,0.59365,0.35878,0.38879,0.15878,1.97229,1.50154,1.86034,0.00160649,0.00160649,0.00160649
13,1387.04,1.86171,1.61702,1.7826,0.3477,0.43879,0.35471,0.13338,2.04914,1.63237,1.92324,0.00160099,0.00160099,0.00160099
14,1491.57,1.82648,1.59056,1.76793,0.61708,0.50163,0.53428,0.21662,1.93131,1.42275,1.82613,0.00159549,0.00159549,0.00159549
15,1596.3,1.80375,1.60797,1.76645,0.51715,0.54752,0.50079,0.22494,2.18656,1.59943,2.03476,0.00158998,0.00158998,0.00158998
16,1701.43,1.82776,1.61366,1.74672,0.47672,0.53754,0.46211,0.20263,1.8901,1.47966,1.82068,0.00158448,0.00158448,0.00158448
17,1806.44,1.7586,1.53759,1.70158,0.49877,0.46496,0.47056,0.18488,1.98804,1.52302,1.87239,0.00157898,0.00157898,0.00157898
18,1911.65,1.75912,1.51365,1.71897,0.5082,0.56233,0.49906,0.21339,2.0708,1.43297,1.98127,0.00157348,0.00157348,0.00157348
19,2016.79,1.72474,1.49055,1.68562,0.52567,0.52049,0.48472,0.19624,2.03475,1.41866,1.90112,0.00156798,0.00156798,0.00156798
20,2121.6,1.74521,1.50884,1.7093,0.61395,0.53852,0.52001,0.22802,1.95561,1.47941,1.87692,0.00156248,0.00156248,0.00156248
21,2226.42,1.71092,1.48432,1.68261,0.48155,0.48508,0.40735,0.18624,2.29236,1.6705,2.19256,0.00155698,0.00155698,0.00155698
22,2331.67,1.70715,1.43356,1.65569,0.56104,0.52239,0.4954,0.21291,1.98671,1.38437,1.94966,0.00155148,0.00155148,0.00155148
