epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.56,3.81748,5.0263,3.66065,0.25118,0.24913,0.21554,0.07727,2.5552,1.95948,1.87493,0.000554542,0.000554542,0.000554542
2,397.286,2.83225,2.72035,2.41682,0.71037,0.28755,0.2241,0.08154,2.31548,2.07318,1.65095,0.00110654,0.00110654,0.00110654
3,581.468,2.59501,2.33333,2.15704,0.2662,0.40425,0.26979,0.08405,2.43337,1.73917,1.65435,0.00165488,0.00165488,0.00165488
4,765.981,2.44711,2.13412,2.06233,0.8282,0.31545,0.34014,0.14221,2.04373,1.35536,1.44843,0.0016505,0.0016505,0.0016505
5,952.192,2.33673,2.00096,1.93288,0.41476,0.37604,0.35294,0.127,2.2652,1.29457,1.55113,0.001645,0.001645,0.001645
6,1139.16,2.29203,1.88206,1.86168,0.34057,0.3613,0.30204,0.10291,2.37867,1.55839,1.55785,0.00163949,0.00163949,0.00163949
7,1331.87,2.22627,1.83341,1.82148,0.41571,0.38003,0.34836,0.12111,2.20434,1.37489,1.47224,0.00163399,0.00163399,0.00163399
8,1515.64,2.18173,1.77184,1.77142,0.38477,0.48815,0.42752,0.16773,2.1518,1.33067,1.45092,0.00162849,0.00162849,0.00162849
9,1695.32,2.14962,1.76679,1.75128,0.45713,0.39795,0.32235,0.10698,2.5075,1.49016,1.62392,0.00162299,0.00162299,0.00162299
10,1874.2,2.06449,1.70464,1.68704,0.3417,0.46019,0.34672,0.1361,2.2275,1.46324,1.48293,0.00161749,0.00161749,0.00161749
11,2053.16,2.05411,1.65628,1.65063,0.488,0.54094,0.46354,0.20068,1.95764,1.37092,1.32767,0.00161199,0.00161199,0.00161199
12,2233.07,2.02291,1.6415,1.63929,0.36698,0.47461,0.36534,0.13309,2.21941,1.28402,1.4579,0.00160649,0.00160649,0.00160649
13,2412.46,2.00872,1.61723,1.63062,0.40201,0.4628,0.41547,0.15797,2.40648,1.41475,1.55886,0.00160099,0.00160099,0.00160099
14,2592.13,1.9818,1.59339,1.62664,0.57797,0.49305,0.48184,0.18346,2.17291,1.24666,1.43705,0.00159549,0.00159549,0.00159549
15,2771.96,1.93537,1.56192,1.59148,0.50503,0.53168,0.49127,0.18233,2.06514,1.20634,1.36843,0.00158998,0.00158998,0.00158998
16,2951.91,1.91444,1.53112,1.57379,0.41057,0.50613,0.39101,0.15784,2.37126,1.55908,1.55096,0.00158448,0.00158448,0.00158448
