epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1441,3.91835,5.18491,4.4375,0,0,0,0,5.75332,4.93217,4.85605,0.000546704,0.000546704,0.000546704
2,42.4399,2.89937,2.69378,2.83026,0.0084,0.23411,0.07898,0.02828,2.92826,3.7331,2.68273,0.00109146,0.00109146,0.00109146
3,61.026,2.68349,2.11834,2.48087,0.19755,0.27274,0.17531,0.05958,2.73181,1.57575,2.44778,0.00162521,0.00162521,0.00162521
4,79.3635,2.5399,1.82406,2.27611,0.30796,0.32705,0.29993,0.11372,2.2393,1.73518,2.08662,0.00161749,0.00161749,0.00161749
5,98.0161,2.45838,1.64815,2.16126,0.27043,0.30707,0.22164,0.07579,2.68338,1.43429,2.36447,0.00160099,0.00160099,0.00160099
6,116.964,2.36776,1.47674,2.00802,0.42242,0.38729,0.34189,0.13418,2.47596,1.0807,2.2379,0.00158448,0.00158448,0.00158448
7,135.561,2.29623,1.3618,1.92568,0.33686,0.48826,0.27765,0.09325,2.64258,1.17739,2.41014,0.00156798,0.00156798,0.00156798
8,154.268,2.25668,1.30382,1.88816,0.46379,0.38943,0.32205,0.12069,2.15024,1.16104,1.96974,0.00155148,0.00155148,0.00155148
9,173.232,2.22107,1.26355,1.85457,0.53796,0.39855,0.40379,0.13065,2.51764,1.26637,2.23216,0.00153497,0.00153497,0.00153497
10,192.663,2.18358,1.22238,1.79386,0.50532,0.46536,0.34825,0.11311,2.61059,1.10602,2.32687,0.00151847,0.00151847,0.00151847
11,211.485,2.14032,1.16834,1.77465,0.49162,0.50842,0.35002,0.1266,2.61869,1.05748,2.41153,0.00150197,0.00150197,0.00150197
12,229.443,2.08317,1.12799,1.73496,0.51393,0.4628,0.42662,0.18176,2.27023,0.97766,2.02852,0.00148546,0.00148546,0.00148546
13,249.307,2.08378,1.11999,1.74216,0.55953,0.55583,0.44078,0.18104,2.41139,0.96269,2.15933,0.00146896,0.00146896,0.00146896
14,267.709,2.05026,1.07887,1.68385,0.45513,0.51707,0.33084,0.12619,2.35737,1.09454,2.17078,0.00145246,0.00145246,0.00145246
15,286.402,2.03013,1.04963,1.68438,0.54736,0.6215,0.5007,0.21066,2.10456,0.83527,1.95617,0.00143595,0.00143595,0.00143595
16,305.348,2.00387,1.04343,1.6579,0.54147,0.59411,0.51043,0.20867,2.00488,0.90036,1.84464,0.00141945,0.00141945,0.00141945
17,324.113,1.97181,1.0282,1.6485,0.50687,0.52544,0.47569,0.19729,2.2367,0.85385,2.05727,0.00140295,0.00140295,0.00140295
18,343.127,1.9593,1.0106,1.6454,0.67399,0.44316,0.439,0.17184,2.27364,1.36231,2.08465,0.00138644,0.00138644,0.00138644
19,362.613,2.00043,1.00932,1.65063,0.47906,0.47803,0.42444,0.16681,2.64166,0.9201,2.41928,0.00136994,0.00136994,0.00136994
20,382.023,1.96381,0.9779,1.62586,0.6077,0.45927,0.41204,0.14406,2.55705,0.93182,2.28605,0.00135344,0.00135344,0.00135344
21,401.698,1.92952,0.98155,1.61459,0.65486,0.58965,0.59121,0.24721,2.15437,0.83707,1.98873,0.00133693,0.00133693,0.00133693
22,421.145,1.92726,0.96331,1.60979,0.74184,0.54112,0.56209,0.24162,2.10247,0.8115,1.93007,0.00132043,0.00132043,0.00132043
23,440.719,1.88967,0.94528,1.59049,0.65545,0.52739,0.4778,0.20973,2.19855,0.80923,2.03704,0.00130393,0.00130393,0.00130393
24,459.801,1.87081,0.94078,1.58184,0.65213,0.51369,0.49447,0.19156,2.64156,0.96272,2.53368,0.00128742,0.00128742,0.00128742
25,478.847,1.90222,0.93956,1.58442,0.63521,0.61833,0.5583,0.21102,2.22926,0.82258,2.00802,0.00127092,0.00127092,0.00127092
26,498.152,1.85855,0.92396,1.55952,0.60055,0.53597,0.53874,0.23779,2.26163,0.84593,2.09834,0.00125442,0.00125442,0.00125442
27,518.027,1.87166,0.93355,1.57807,0.6007,0.50522,0.49139,0.19667,2.43366,0.85198,2.26093,0.00123791,0.00123791,0.00123791
