epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.717,2.58456,5.10592,4.37744,0,0,0,0,3.9732,4.95176,4.94246,0.000546704,0.000546704,0.000546704
2,45.87,1.20652,2.62823,2.75645,0.01162,0.24269,0.08148,0.03539,1.13373,3.68524,2.74399,0.00109146,0.00109146,0.00109146
3,66.7151,0.98067,2.07512,2.41382,0.25535,0.29481,0.18637,0.06411,0.73873,1.79186,2.26566,0.00162521,0.00162521,0.00162521
4,87.0571,0.84456,1.75892,2.21272,0.31687,0.35469,0.28127,0.11399,0.63414,1.66918,2.00314,0.00161749,0.00161749,0.00161749
5,107.059,0.79289,1.55794,2.11052,0.29302,0.47588,0.24581,0.07878,0.86098,1.16816,2.37077,0.00160099,0.00160099,0.00160099
6,126.31,0.71632,1.40141,1.99132,0.39876,0.47597,0.38265,0.14585,0.66683,0.93655,2.12419,0.00158448,0.00158448,0.00158448
7,148.047,0.68125,1.30893,1.9381,0.37327,0.33711,0.29806,0.13386,0.60765,1.43908,2.01314,0.00156798,0.00156798,0.00156798
8,167.68,0.65653,1.24781,1.90195,0.35007,0.35878,0.27618,0.1028,0.70815,1.05339,2.23029,0.00155148,0.00155148,0.00155148
9,187.688,0.6283,1.20623,1.86012,0.48688,0.39781,0.35148,0.14081,0.65578,1.03167,2.10301,0.00153497,0.00153497,0.00153497
10,208.42,0.59692,1.16566,1.80564,0.56683,0.46945,0.47104,0.14798,0.69846,0.96209,2.19735,0.00151847,0.00151847,0.00151847
11,228.365,0.58345,1.10888,1.77486,0.49302,0.44584,0.39201,0.14361,0.82845,0.94883,2.5377,0.00150197,0.00150197,0.00150197
12,249.593,0.57858,1.10393,1.77182,0.5104,0.49499,0.48082,0.2004,0.55082,0.99919,1.85058,0.00148546,0.00148546,0.00148546
13,269.704,0.57327,1.10205,1.77395,0.51834,0.49548,0.41423,0.14027,0.70393,0.94178,2.24101,0.00146896,0.00146896,0.00146896
14,289.286,0.54391,1.05263,1.70918,0.64549,0.52544,0.50033,0.16715,0.68509,0.88323,2.2246,0.00145246,0.00145246,0.00145246
15,310.358,0.54482,1.02763,1.7126,0.49903,0.51243,0.44764,0.16371,0.66101,1.01609,2.12917,0.00143595,0.00143595,0.00143595
16,330.634,0.5395,1.03302,1.68654,0.47325,0.54517,0.42633,0.1695,0.75675,0.98793,2.36782,0.00141945,0.00141945,0.00141945
17,352.08,0.52948,0.99928,1.67495,0.53733,0.5823,0.44606,0.17491,0.55942,0.83298,1.88646,0.00140295,0.00140295,0.00140295
18,372.428,0.51617,0.98099,1.65755,0.51178,0.55355,0.47997,0.19654,0.66081,0.91559,2.15664,0.00138644,0.00138644,0.00138644
19,392.695,0.52731,0.98745,1.68225,0.64209,0.56213,0.52053,0.19952,0.63929,0.86009,2.06738,0.00136994,0.00136994,0.00136994
20,413.301,0.50705,0.9504,1.63572,0.58941,0.54925,0.46801,0.15743,0.66668,0.86553,2.12661,0.00135344,0.00135344,0.00135344
21,434.388,0.51019,0.94826,1.64367,0.64905,0.54415,0.56449,0.23382,0.6394,0.86473,2.07335,0.00133693,0.00133693,0.00133693
22,453.484,0.50826,0.94712,1.64404,0.68967,0.53403,0.55873,0.24402,0.64199,0.835,2.07977,0.00132043,0.00132043,0.00132043
23,473.059,0.48801,0.91174,1.60264,0.64524,0.54734,0.54887,0.22775,0.61564,0.80523,2.00635,0.00130393,0.00130393,0.00130393
24,492.526,0.48842,0.90702,1.59648,0.64091,0.58165,0.51184,0.20152,0.74805,0.90627,2.38836,0.00128742,0.00128742,0.00128742
25,511.608,0.48728,0.91062,1.59983,0.67401,0.63335,0.57886,0.22372,0.55728,0.76662,1.87654,0.00127092,0.00127092,0.00127092
26,530.185,0.47864,0.89573,1.58228,0.59855,0.62262,0.54521,0.23417,0.62064,0.79437,2.05139,0.00125442,0.00125442,0.00125442
27,549.951,0.48628,0.89029,1.59966,0.60396,0.57327,0.52686,0.22961,0.71165,0.87739,2.33066,0.00123791,0.00123791,0.00123791
28,568.742,0.48129,0.90129,1.5886,0.63841,0.6634,0.63745,0.27762,0.56702,0.73926,1.93773,0.00122141,0.00122141,0.00122141
29,587.914,0.48061,0.90093,1.59579,0.67206,0.585,0.55107,0.23855,0.67161,0.81889,2.12611,0.00120491,0.00120491,0.00120491
30,607.942,0.45817,0.84769,1.55629,0.67523,0.56173,0.55859,0.22953,0.61321,0.79914,2.05589,0.0011884,0.0011884,0.0011884
