epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9503,4.01595,5.15775,4.43543,0,0,0,0,6.05374,4.93919,4.88136,0.000546704,0.000546704,0.000546704
2,45.8233,2.90676,2.66491,2.80715,0.01793,0.2899,0.09857,0.04512,2.5051,3.70458,2.54909,0.00109146,0.00109146,0.00109146
3,66.0347,2.68919,2.18161,2.46344,0.20029,0.37441,0.17998,0.05677,2.776,1.7803,2.34515,0.00162521,0.00162521,0.00162521
4,86.0877,2.57365,1.86898,2.2769,0.3382,0.27468,0.29823,0.12476,2.14777,1.45607,2.04694,0.00161749,0.00161749,0.00161749
5,106.743,2.46658,1.63706,2.13648,0.19917,0.28796,0.1667,0.05615,2.86448,2.24185,2.4499,0.00160099,0.00160099,0.00160099
6,127.384,2.37241,1.49978,2.02049,0.41857,0.47333,0.35727,0.13172,2.3634,0.98634,2.09567,0.00158448,0.00158448,0.00158448
7,147.59,2.32351,1.38703,1.94452,0.38429,0.33628,0.30247,0.11901,2.53849,1.18301,2.33714,0.00156798,0.00156798,0.00156798
8,168.917,2.26497,1.32238,1.90574,0.47054,0.38795,0.37519,0.13637,2.2678,1.02045,2.05858,0.00155148,0.00155148,0.00155148
9,189.617,2.24544,1.28464,1.87363,0.43354,0.52074,0.38206,0.14403,2.21907,0.94369,1.97343,0.00153497,0.00153497,0.00153497
10,209.973,2.19856,1.22618,1.80265,0.41555,0.41794,0.35136,0.12189,2.76916,1.1059,2.43442,0.00151847,0.00151847,0.00151847
11,230.739,2.15103,1.16697,1.77453,0.4712,0.47069,0.35716,0.12604,2.579,1.05209,2.25937,0.00150197,0.00150197,0.00150197
12,251.626,2.11346,1.15044,1.7526,0.5725,0.43889,0.43204,0.17157,2.1402,1.01105,1.93753,0.00148546,0.00148546,0.00148546
13,272.357,2.11397,1.13579,1.75478,0.594,0.501,0.44553,0.17059,2.46958,0.95979,2.27883,0.00146896,0.00146896,0.00146896
14,294.005,2.07125,1.08915,1.68705,0.62391,0.49305,0.47912,0.19411,2.16787,0.93049,1.97215,0.00145246,0.00145246,0.00145246
15,315.086,2.04267,1.07187,1.68917,0.66247,0.4907,0.52378,0.21165,2.257,1.00111,2.06917,0.00143595,0.00143595,0.00143595
16,336.398,2.03517,1.05394,1.67182,0.74242,0.60699,0.60565,0.26059,2.04264,0.84404,1.8738,0.00141945,0.00141945,0.00141945
17,357.745,1.99099,1.04218,1.65147,0.57831,0.49975,0.44391,0.19778,2.10782,0.82202,1.92268,0.00140295,0.00140295,0.00140295
18,378.906,1.95277,1.01395,1.63547,0.54038,0.45228,0.41425,0.18157,2.21583,1.4348,2.01865,0.00138644,0.00138644,0.00138644
19,400.097,1.9988,1.01643,1.65111,0.52735,0.60002,0.44296,0.15896,2.69151,1.05832,2.49133,0.00136994,0.00136994,0.00136994
20,421.521,1.95074,0.98794,1.61559,0.55327,0.46567,0.42903,0.18014,2.26478,0.89836,2.04531,0.00135344,0.00135344,0.00135344
21,442.389,1.94979,0.98133,1.62248,0.59806,0.58359,0.51849,0.22958,2.24641,0.87329,2.07523,0.00133693,0.00133693,0.00133693
22,464.089,1.92401,0.96592,1.60105,0.70471,0.56825,0.54964,0.21984,2.31098,0.86459,2.07856,0.00132043,0.00132043,0.00132043
23,485.288,1.88599,0.94712,1.58633,0.72873,0.61095,0.61822,0.28233,1.99837,0.73238,1.83471,0.00130393,0.00130393,0.00130393
24,506,1.87065,0.9322,1.57617,0.59278,0.53209,0.47728,0.19084,2.64864,0.96966,2.53771,0.00128742,0.00128742,0.00128742
25,527.824,1.89856,0.92616,1.57439,0.60983,0.65502,0.54765,0.24385,2.15587,0.81176,1.9648,0.00127092,0.00127092,0.00127092
26,548.5,1.87068,0.91934,1.55552,0.53096,0.62283,0.51467,0.21668,2.47744,0.86872,2.31541,0.00125442,0.00125442,0.00125442
27,569.472,1.86987,0.92466,1.5757,0.58272,0.53638,0.48783,0.2115,2.43866,0.90555,2.2035,0.00123791,0.00123791,0.00123791
28,590.849,1.84041,0.91807,1.55486,0.66639,0.5467,0.54389,0.2566,2.30491,0.80524,2.14362,0.00122141,0.00122141,0.00122141
29,612.542,1.87507,0.9302,1.56881,0.5098,0.63429,0.50715,0.19979,2.57401,0.9089,2.3247,0.00120491,0.00120491,0.00120491
30,633.002,1.80792,0.89535,1.54292,0.72184,0.54026,0.56388,0.26277,2.19299,0.94149,2.03358,0.0011884,0.0011884,0.0011884
31,654.945,1.81044,0.89684,1.532,0.54876,0.48814,0.4553,0.20259,2.44761,0.92605,2.30161,0.0011719,0.0011719,0.0011719
32,675.784,1.82874,0.89777,1.54071,0.62497,0.63765,0.56041,0.25586,2.18155,0.81122,2.03484,0.0011554,0.0011554,0.0011554
33,697.656,1.79538,0.86952,1.5354,0.67903,0.68391,0.61846,0.28015,2.24412,0.77398,2.08274,0.00113889,0.00113889,0.00113889
34,718.483,1.78203,0.86984,1.51429,0.69206,0.61065,0.6151,0.30267,2.16455,0.74674,2.01182,0.00112239,0.00112239,0.00112239
35,739.017,1.78048,0.84911,1.51396,0.57298,0.53464,0.48149,0.20586,2.74365,0.97738,2.68227,0.00110589,0.00110589,0.00110589
36,759.786,1.78944,0.8672,1.51223,0.52908,0.6219,0.47088,0.21134,2.54014,0.9759,2.43105,0.00108938,0.00108938,0.00108938
37,782.587,1.75013,0.85612,1.51363,0.67504,0.68388,0.65355,0.31005,2.07073,0.74845,1.89569,0.00107288,0.00107288,0.00107288
38,804.306,1.7334,0.84737,1.49195,0.51797,0.67883,0.59299,0.2641,2.33914,0.8351,2.20273,0.00105638,0.00105638,0.00105638
39,824.913,1.74548,0.83345,1.48558,0.7022,0.61917,0.6336,0.31289,2.07229,0.76436,1.93209,0.00103987,0.00103987,0.00103987
40,847.329,1.74215,0.83789,1.48846,0.57022,0.6404,0.54708,0.251,2.59424,0.86745,2.50873,0.00102337,0.00102337,0.00102337
41,869.093,1.72166,0.82343,1.48262,0.71203,0.62929,0.6482,0.33928,2.09623,0.76758,1.98098,0.00100687,0.00100687,0.00100687
42,890.012,1.73957,0.82906,1.48824,0.62545,0.64235,0.58046,0.29478,2.32817,0.8144,2.30693,0.000990365,0.000990365,0.000990365
43,912.192,1.70202,0.81009,1.4659,0.59542,0.64064,0.57774,0.27567,2.24771,0.81286,2.15288,0.000973861,0.000973861,0.000973861
44,933.804,1.69315,0.79346,1.45196,0.59004,0.65238,0.58369,0.2874,2.51214,0.83423,2.38025,0.000957358,0.000957358,0.000957358
45,955.193,1.68876,0.7912,1.47766,0.58228,0.54159,0.55145,0.25768,2.32923,0.93155,2.21647,0.000940855,0.000940855,0.000940855
46,977.6,1.69422,0.81085,1.4801,0.70894,0.61874,0.6074,0.31508,2.34713,0.83235,2.23876,0.000924352,0.000924352,0.000924352
47,998.915,1.694,0.79669,1.45433,0.69058,0.61856,0.59665,0.28645,2.4831,0.83496,2.44024,0.000907848,0.000907848,0.000907848
48,1019.53,1.66353,0.79863,1.43823,0.65461,0.57818,0.56229,0.26397,2.29627,0.79003,2.19788,0.000891345,0.000891345,0.000891345
49,1041.23,1.65203,0.79114,1.44435,0.61359,0.64235,0.61589,0.28324,2.51058,0.85038,2.44324,0.000874842,0.000874842,0.000874842
50,1061.8,1.65867,0.77568,1.44013,0.5571,0.64255,0.5619,0.27882,2.38927,0.86487,2.29036,0.000858338,0.000858338,0.000858338
51,1082.65,1.66111,0.78751,1.44827,0.67164,0.56519,0.55453,0.2672,2.2174,0.80522,2.13883,0.000841835,0.000841835,0.000841835
52,1104.5,1.63538,0.76785,1.42856,0.6336,0.63356,0.63309,0.29042,2.35686,0.77755,2.28403,0.000825332,0.000825332,0.000825332
53,1124.86,1.65511,0.78061,1.45072,0.6481,0.70928,0.62868,0.28856,2.21255,0.77095,2.15034,0.000808828,0.000808828,0.000808828
54,1146.1,1.63471,0.76536,1.42081,0.72581,0.61854,0.60061,0.29673,2.42603,0.86074,2.42384,0.000792325,0.000792325,0.000792325
55,1167.42,1.63975,0.76977,1.42986,0.68423,0.70713,0.60898,0.2702,2.25709,0.77696,2.1328,0.000775822,0.000775822,0.000775822
56,1189.31,1.62246,0.76214,1.42363,0.78027,0.76288,0.77324,0.41371,1.74135,0.63739,1.6928,0.000759318,0.000759318,0.000759318
57,1210.29,1.62075,0.76218,1.41945,0.71639,0.69834,0.67067,0.32783,2.25057,0.75694,2.15034,0.000742815,0.000742815,0.000742815
58,1232.78,1.60864,0.75215,1.40498,0.69252,0.67454,0.6428,0.30373,2.01665,0.74405,1.99092,0.000726312,0.000726312,0.000726312
59,1253.63,1.60089,0.75203,1.41748,0.67858,0.70907,0.68394,0.31668,2.14143,0.74661,2.04851,0.000709809,0.000709809,0.000709809
60,1274.95,1.59663,0.75168,1.4055,0.67574,0.76078,0.71132,0.33291,2.10466,0.73599,2.03731,0.000693305,0.000693305,0.000693305
61,1296.58,1.61151,0.75113,1.43464,0.65813,0.69819,0.62856,0.28078,2.44332,0.85376,2.35324,0.000676802,0.000676802,0.000676802
62,1317.43,1.58261,0.73247,1.40319,0.64706,0.65549,0.61119,0.29053,2.20713,0.75481,2.16589,0.000660299,0.000660299,0.000660299
63,1338.55,1.59366,0.73574,1.42175,0.70941,0.69037,0.67439,0.31254,2.37385,0.76725,2.33083,0.000643795,0.000643795,0.000643795
64,1360.68,1.57656,0.73888,1.41095,0.7163,0.74382,0.68739,0.33933,2.24899,0.76085,2.16419,0.000627292,0.000627292,0.000627292
65,1380.84,1.56643,0.7191,1.38533,0.66144,0.68698,0.65958,0.30161,2.26381,0.76722,2.20425,0.000610789,0.000610789,0.000610789
66,1401.75,1.56435,0.72762,1.38327,0.74265,0.66027,0.64062,0.31582,2.25488,0.75833,2.17689,0.000594286,0.000594286,0.000594286
