epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0888,3.41925,4.56547,3.6967,0.00238,0.16779,0.01519,0.00544,2.77358,4.12977,2.97579,0.000551185,0.000551185,0.000551185
2,133.237,2.53205,2.8733,2.55653,0.45729,0.34396,0.2605,0.08173,2.20111,1.88984,2.14276,0.00109589,0.00109589,0.00109589
3,199.785,2.3269,2.36956,2.24274,0.20313,0.31995,0.21428,0.07915,2.09246,2.1474,2.01358,0.0016296,0.0016296,0.0016296
4,267.283,2.17992,2.07997,2.06979,0.2799,0.28817,0.24129,0.07247,2.05307,1.92357,2.01282,0.00161749,0.00161749,0.00161749
5,333.967,2.12549,1.94938,1.97967,0.34189,0.41243,0.33471,0.13183,1.80157,1.56855,1.79674,0.00160099,0.00160099,0.00160099
6,402.445,2.01689,1.81925,1.89077,0.3415,0.49693,0.35517,0.12392,2.0152,1.50368,1.95619,0.00158448,0.00158448,0.00158448
7,470.808,1.95546,1.73863,1.839,0.39295,0.4347,0.32118,0.12271,2.07544,1.73739,2.00802,0.00156798,0.00156798,0.00156798
8,539.454,1.95206,1.72862,1.83484,0.36307,0.46079,0.35043,0.14565,1.85898,1.62168,1.82311,0.00155148,0.00155148,0.00155148
9,608.248,1.9062,1.6329,1.76218,0.39398,0.52762,0.41402,0.16558,1.81558,1.56944,1.75257,0.00153497,0.00153497,0.00153497
10,676.25,1.87229,1.60163,1.74494,0.45651,0.41048,0.34411,0.16105,1.90437,1.51966,1.82669,0.00151847,0.00151847,0.00151847
11,743.267,1.8455,1.57511,1.73549,0.51677,0.45257,0.41412,0.15389,1.95254,1.40139,1.86693,0.00150197,0.00150197,0.00150197
12,810.359,1.8112,1.5071,1.68298,0.62214,0.52075,0.53805,0.2098,1.97838,1.39977,1.86567,0.00148546,0.00148546,0.00148546
13,877.989,1.76975,1.46483,1.65662,0.59797,0.48188,0.51375,0.226,1.96294,1.52265,1.86605,0.00146896,0.00146896,0.00146896
14,946.956,1.77359,1.45338,1.65839,0.5944,0.47379,0.48626,0.23395,1.73147,1.3365,1.70798,0.00145246,0.00145246,0.00145246
15,1016.31,1.72978,1.41062,1.61655,0.5015,0.59667,0.53112,0.26296,1.77496,1.26408,1.77438,0.00143595,0.00143595,0.00143595
16,1085.14,1.72586,1.38463,1.61255,0.64962,0.48835,0.50566,0.22599,1.79047,1.39452,1.7861,0.00141945,0.00141945,0.00141945
17,1154.57,1.70612,1.38283,1.58741,0.51166,0.58322,0.49303,0.23074,1.69992,1.67634,1.66794,0.00140295,0.00140295,0.00140295
18,1223.77,1.67819,1.34023,1.57618,0.63393,0.46172,0.53308,0.26551,1.86555,1.28409,1.82819,0.00138644,0.00138644,0.00138644
19,1295.84,1.70276,1.34738,1.59125,0.58728,0.57695,0.57245,0.2695,1.8243,1.21163,1.74892,0.00136994,0.00136994,0.00136994
20,1370.86,1.67106,1.32377,1.57648,0.70753,0.52766,0.54997,0.25035,2.16091,1.32559,2.00402,0.00135344,0.00135344,0.00135344
21,1453.28,1.67094,1.32364,1.56854,0.69526,0.61149,0.62925,0.30399,1.85586,1.19143,1.76498,0.00133693,0.00133693,0.00133693
22,1535.76,1.64208,1.29729,1.55116,0.65449,0.61384,0.54624,0.2744,1.79205,1.22836,1.72653,0.00132043,0.00132043,0.00132043
23,1617.1,1.62137,1.27788,1.52494,0.52312,0.57562,0.51517,0.25137,2.19106,1.39158,2.12509,0.00130393,0.00130393,0.00130393
24,1698.43,1.6081,1.26272,1.52389,0.70508,0.59844,0.64453,0.331,1.87761,1.19666,1.81908,0.00128742,0.00128742,0.00128742
25,1779.91,1.63629,1.24916,1.52751,0.64396,0.584,0.59242,0.30338,1.736,1.36429,1.69815,0.00127092,0.00127092,0.00127092
26,1832.13,1.6103,1.24288,1.51981,0.66953,0.55941,0.5949,0.31289,1.83473,1.24975,1.78409,0.00125442,0.00125442,0.00125442
27,1881.31,1.59177,1.20519,1.50105,0.60121,0.63356,0.62959,0.32309,1.98623,1.26395,1.90827,0.00123791,0.00123791,0.00123791
28,1930.3,1.59022,1.22969,1.49188,0.628,0.62906,0.61096,0.33898,1.77957,1.12249,1.72726,0.00122141,0.00122141,0.00122141
