epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9413,4.24683,4.7527,4.07697,0,0,0,0,6.14215,4.50577,4.21842,0.000546704,0.000546704,0.000546704
2,47.085,3.30422,2.77634,2.9119,0.01395,0.30901,0.1338,0.05169,2.67636,2.91065,1.92522,0.00109146,0.00109146,0.00109146
3,69.4658,2.82824,2.01397,2.29152,0.2542,0.30125,0.1805,0.05663,2.65416,1.57973,1.84537,0.00162521,0.00162521,0.00162521
4,88.8092,2.65565,1.72502,2.08917,0.34027,0.4259,0.30451,0.11958,2.03974,1.13297,1.46404,0.00161749,0.00161749,0.00161749
5,107.815,2.53823,1.56182,1.98976,0.34474,0.30768,0.21785,0.07337,2.80404,1.4063,1.79944,0.00160099,0.00160099,0.00160099
6,126.402,2.39828,1.41826,1.88388,0.46964,0.47568,0.38578,0.13033,2.33354,1.01707,1.57801,0.00158448,0.00158448,0.00158448
7,145.45,2.33401,1.34837,1.81511,0.48717,0.45119,0.40201,0.15919,1.94786,0.93537,1.37252,0.00156798,0.00156798,0.00156798
8,163.755,2.28187,1.29586,1.76627,0.41351,0.4593,0.34785,0.13052,2.23285,0.96546,1.48782,0.00155148,0.00155148,0.00155148
9,182.107,2.24314,1.26546,1.7604,0.32812,0.43491,0.26435,0.0971,2.32588,1.09584,1.51532,0.00153497,0.00153497,0.00153497
10,201.842,2.16723,1.21144,1.69276,0.49518,0.50419,0.40939,0.12473,2.49425,1.02559,1.67376,0.00151847,0.00151847,0.00151847
11,222.05,2.11586,1.14846,1.6575,0.4584,0.45228,0.37413,0.13522,2.63775,1.01038,1.79975,0.00150197,0.00150197,0.00150197
12,241.584,2.10778,1.14134,1.65876,0.63072,0.48917,0.44915,0.15408,2.15114,1.01711,1.44709,0.00148546,0.00148546,0.00148546
13,261.179,2.08607,1.14354,1.6454,0.68188,0.53996,0.49126,0.19089,2.44151,0.9694,1.66335,0.00146896,0.00146896,0.00146896
14,280.885,2.05564,1.09471,1.58953,0.65715,0.54496,0.47968,0.19361,2.06869,0.83957,1.40611,0.00145246,0.00145246,0.00145246
