epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.4791,2.22061,4.73655,4.0606,0,0,0,0,3.21568,4.55573,4.39387,0.000546704,0.000546704,0.000546704
2,40.7463,1.23238,2.68288,2.81203,0.01261,0.22747,0.07558,0.02523,0.64277,3.40964,2.10898,0.00109146,0.00109146,0.00109146
3,59.4585,0.92446,1.94911,2.28418,0.37295,0.33987,0.25212,0.07934,0.51613,1.26781,1.86425,0.00162521,0.00162521,0.00162521
4,77.3314,0.78173,1.67865,2.07595,0.37348,0.33773,0.26462,0.09612,0.41592,5.90845,1.53091,0.00161749,0.00161749,0.00161749
5,95.8429,0.73534,1.50905,1.98857,0.40973,0.36736,0.35587,0.12554,0.50354,1.07877,1.6202,0.00160099,0.00160099,0.00160099
6,114.004,0.66405,1.37809,1.87278,0.71533,0.36092,0.33343,0.13558,0.41514,0.93149,1.51556,0.00158448,0.00158448,0.00158448
7,133.285,0.63335,1.29561,1.82493,0.33552,0.37421,0.28434,0.10188,0.4438,0.98973,1.64526,0.00156798,0.00156798,0.00156798
8,151.554,0.6071,1.24755,1.77501,0.44035,0.47118,0.38208,0.1427,0.35657,1.02878,1.3997,0.00155148,0.00155148,0.00155148
9,169.541,0.5861,1.21058,1.74756,0.4322,0.51069,0.3999,0.15475,0.38731,0.92309,1.50085,0.00153497,0.00153497,0.00153497
10,188.697,0.55891,1.15693,1.70646,0.4409,0.58206,0.41384,0.15088,0.50215,1.09793,1.79963,0.00151847,0.00151847,0.00151847
11,206.543,0.5579,1.10586,1.69111,0.64163,0.44778,0.42151,0.1416,0.46091,0.95814,1.65885,0.00150197,0.00150197,0.00150197
12,224.538,0.54213,1.0927,1.66879,0.58681,0.51806,0.43668,0.15901,0.36788,0.87012,1.41322,0.00148546,0.00148546,0.00148546
13,243.53,0.53547,1.0951,1.65838,0.57236,0.57004,0.54294,0.21515,0.36352,0.83809,1.42477,0.00146896,0.00146896,0.00146896
14,261.332,0.52431,1.05666,1.62146,0.64442,0.54413,0.5186,0.20196,0.3726,0.82451,1.4464,0.00145246,0.00145246,0.00145246
15,279.473,0.50628,1.02985,1.60538,0.74899,0.5251,0.54229,0.21105,0.40274,0.91092,1.52915,0.00143595,0.00143595,0.00143595
16,298.276,0.50498,1.02915,1.58339,0.64992,0.66404,0.63858,0.28319,0.32834,0.75416,1.32822,0.00141945,0.00141945,0.00141945
17,316.883,0.50301,1.03488,1.58529,0.70344,0.5512,0.5856,0.22015,0.33593,0.7529,1.33187,0.00140295,0.00140295,0.00140295
18,334.935,0.47422,0.97427,1.54431,0.76639,0.60096,0.59995,0.26568,0.38598,0.79099,1.46241,0.00138644,0.00138644,0.00138644
19,353.226,0.48539,0.98497,1.55725,0.69366,0.68547,0.6047,0.23151,0.3774,0.81577,1.45696,0.00136994,0.00136994,0.00136994
20,372.004,0.47213,0.95153,1.52908,0.56924,0.6402,0.49333,0.18601,0.41794,0.88523,1.57816,0.00135344,0.00135344,0.00135344
21,390.135,0.47274,0.94632,1.53177,0.68956,0.74382,0.63655,0.28186,0.35127,0.79647,1.41321,0.00133693,0.00133693,0.00133693
22,407.981,0.47304,0.9353,1.52852,0.68126,0.65931,0.61011,0.25377,0.34203,0.72942,1.3763,0.00132043,0.00132043,0.00132043
23,426.691,0.45567,0.91126,1.49988,0.69717,0.64407,0.65006,0.31433,0.31011,0.81739,1.30239,0.00130393,0.00130393,0.00130393
