epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0463,4.40152,4.77863,4.09281,0,0,0,0,6.52128,4.51437,4.25975,0.000546704,0.000546704,0.000546704
2,40.3423,3.31504,2.74815,2.83433,0.91966,0.03004,0.19945,0.07592,2.38862,2.5845,1.79912,0.00109146,0.00109146,0.00109146
3,57.9685,2.88909,2.06158,2.27271,0.28242,0.27958,0.16565,0.0569,2.43233,1.44328,1.72216,0.00162521,0.00162521,0.00162521
4,75.9899,2.6757,1.72007,2.02737,0.81539,0.21674,0.21135,0.08412,2.43697,2.03623,1.60075,0.00161749,0.00161749,0.00161749
5,93.9803,2.58714,1.56502,1.9363,0.38788,0.34161,0.27645,0.0986,2.34351,1.23061,1.5418,0.00160099,0.00160099,0.00160099
6,111.972,2.44875,1.42286,1.83429,0.35205,0.45498,0.28113,0.09446,2.59108,1.2263,1.73944,0.00158448,0.00158448,0.00158448
7,129.725,2.37598,1.3626,1.793,0.30768,0.43838,0.34974,0.14768,1.92666,0.86568,1.34242,0.00156798,0.00156798,0.00156798
8,148.13,2.31378,1.30466,1.73741,0.41559,0.4437,0.35655,0.12809,2.20793,1.03502,1.4611,0.00155148,0.00155148,0.00155148
9,166.132,2.27422,1.26661,1.72601,0.40399,0.39715,0.31947,0.12428,2.2172,1.00669,1.46457,0.00153497,0.00153497,0.00153497
10,184.291,2.22162,1.21378,1.67612,0.45061,0.59493,0.39118,0.13012,2.53098,1.10812,1.62417,0.00151847,0.00151847,0.00151847
11,203.245,2.15055,1.16459,1.62767,0.48653,0.48614,0.36387,0.14467,2.63775,1.06891,1.76814,0.00150197,0.00150197,0.00150197
12,221.638,2.11419,1.13495,1.59802,0.46961,0.48876,0.40939,0.17326,2.13815,1.01988,1.40089,0.00148546,0.00148546,0.00148546
13,240.042,2.15295,1.15764,1.61692,0.50306,0.48876,0.41448,0.17119,2.48315,0.96513,1.65299,0.00146896,0.00146896,0.00146896
14,259.792,2.07994,1.11479,1.56253,0.52113,0.47588,0.43089,0.16472,2.28235,0.91679,1.52515,0.00145246,0.00145246,0.00145246
15,279.179,2.05488,1.0793,1.55563,0.58784,0.61801,0.53478,0.20305,2.19385,1.47303,1.5167,0.00143595,0.00143595,0.00143595
16,298.089,2.0429,1.06585,1.52782,0.66926,0.60261,0.61695,0.27776,1.81457,0.74051,1.25784,0.00141945,0.00141945,0.00141945
17,317.782,2.01606,1.06783,1.53256,0.56243,0.51686,0.43528,0.16335,2.13184,0.85307,1.42893,0.00140295,0.00140295,0.00140295
18,336.841,1.96251,1.03217,1.50483,0.54541,0.57092,0.46224,0.19288,2.24507,1.02802,1.51219,0.00138644,0.00138644,0.00138644
19,355.359,1.99003,1.03733,1.51671,0.73163,0.6076,0.60121,0.22959,2.20652,0.85583,1.43756,0.00136994,0.00136994,0.00136994
20,374.8,1.94679,1.00082,1.48893,0.64872,0.4999,0.53361,0.22456,2.4,0.86742,1.62154,0.00135344,0.00135344,0.00135344
21,393.664,1.9452,0.99178,1.4869,0.72562,0.61813,0.61846,0.26769,1.90406,0.80029,1.31212,0.00133693,0.00133693,0.00133693
22,412.55,1.89852,0.96613,1.46402,0.69151,0.55755,0.56982,0.26868,2.07955,0.7804,1.43163,0.00132043,0.00132043,0.00132043
23,431.504,1.86898,0.95393,1.44299,0.66232,0.6538,0.58468,0.26534,1.92665,0.76787,1.31841,0.00130393,0.00130393,0.00130393
24,449.618,1.84778,0.9413,1.44138,0.68994,0.5656,0.54709,0.26915,2.2138,0.84185,1.48166,0.00128742,0.00128742,0.00128742
25,468.38,1.85714,0.94082,1.43206,0.68816,0.56049,0.52234,0.23407,2.22398,0.84343,1.4773,0.00127092,0.00127092,0.00127092
26,487.822,1.85116,0.93078,1.43175,0.62306,0.57305,0.532,0.24781,2.16869,0.85011,1.45366,0.00125442,0.00125442,0.00125442
27,505.869,1.83564,0.93074,1.42658,0.61301,0.54476,0.50111,0.22397,2.12934,0.832,1.4265,0.00123791,0.00123791,0.00123791
28,524.39,1.82937,0.93581,1.41914,0.537,0.59939,0.48411,0.2211,2.13834,0.82111,1.46696,0.00122141,0.00122141,0.00122141
29,543.454,1.82857,0.93363,1.43209,0.74443,0.54731,0.57139,0.2784,2.31674,0.84439,1.55797,0.00120491,0.00120491,0.00120491
30,561.399,1.76383,0.8885,1.39115,0.70829,0.55998,0.56611,0.27475,2.179,0.89576,1.45808,0.0011884,0.0011884,0.0011884
31,580.369,1.79373,0.89774,1.39736,0.65667,0.60566,0.58902,0.27088,2.12284,0.79524,1.43873,0.0011719,0.0011719,0.0011719
32,599.137,1.7918,0.89849,1.41721,0.56653,0.63162,0.5444,0.27673,2.18073,0.80768,1.48674,0.0011554,0.0011554,0.0011554
33,617.38,1.75339,0.86019,1.38327,0.67552,0.61352,0.58756,0.27887,2.07717,0.73856,1.41081,0.00113889,0.00113889,0.00113889
34,636.355,1.74785,0.87959,1.36923,0.60132,0.69078,0.59858,0.28049,2.06236,0.80475,1.41128,0.00112239,0.00112239,0.00112239
35,654.385,1.74369,0.8608,1.3727,0.62869,0.49796,0.4662,0.2076,2.54895,0.92214,1.80428,0.00110589,0.00110589,0.00110589
36,672.608,1.75655,0.87771,1.3792,0.57162,0.60048,0.52727,0.27625,2.18617,0.85498,1.48419,0.00108938,0.00108938,0.00108938
37,691.837,1.70409,0.85195,1.37988,0.65579,0.61174,0.60768,0.30373,1.88903,0.72761,1.30555,0.00107288,0.00107288,0.00107288
38,710.84,1.70845,0.83937,1.35688,0.54018,0.75455,0.58236,0.26207,2.22188,0.81184,1.52694,0.00105638,0.00105638,0.00105638
39,729.119,1.68726,0.82852,1.34259,0.70166,0.65263,0.61478,0.27903,2.00047,0.69812,1.36884,0.00103987,0.00103987,0.00103987
40,747.91,1.71347,0.83652,1.36539,0.64732,0.62995,0.62797,0.3073,2.13485,0.78641,1.4932,0.00102337,0.00102337,0.00102337
41,767.058,1.67162,0.83139,1.35662,0.67113,0.56683,0.54192,0.29953,2.16625,0.82977,1.50042,0.00100687,0.00100687,0.00100687
42,784.755,1.6845,0.83222,1.35136,0.67663,0.56533,0.57039,0.29513,2.25295,0.85333,1.55545,0.000990365,0.000990365,0.000990365
43,803.183,1.6448,0.80043,1.33362,0.63682,0.59258,0.56784,0.26995,2.30198,0.81098,1.58272,0.000973861,0.000973861,0.000973861
44,822.296,1.63423,0.80167,1.30687,0.62275,0.66186,0.59479,0.27404,2.30306,0.80357,1.5878,0.000957358,0.000957358,0.000957358
45,841.174,1.62791,0.78198,1.3238,0.57095,0.55372,0.51788,0.25205,2.23814,0.88876,1.52403,0.000940855,0.000940855,0.000940855
46,858.756,1.62069,0.79662,1.34548,0.62887,0.6142,0.55008,0.28959,2.06532,0.82849,1.43021,0.000924352,0.000924352,0.000924352
47,878.516,1.63439,0.78944,1.31807,0.55194,0.54108,0.49741,0.23343,2.48026,0.94555,1.80083,0.000907848,0.000907848,0.000907848
48,897.093,1.61096,0.79288,1.31672,0.69056,0.53852,0.55897,0.29515,2.17371,0.82511,1.50845,0.000891345,0.000891345,0.000891345
49,916.384,1.59981,0.78249,1.31506,0.62625,0.63977,0.56364,0.29023,2.26097,0.88858,1.58921,0.000874842,0.000874842,0.000874842
50,934.599,1.61054,0.76725,1.30801,0.63765,0.56821,0.56108,0.27011,2.16671,0.81563,1.51011,0.000858338,0.000858338,0.000858338
51,953.213,1.6013,0.78303,1.31435,0.71368,0.61639,0.62173,0.29346,2.2388,0.78603,1.5784,0.000841835,0.000841835,0.000841835
52,972.518,1.57846,0.76141,1.28951,0.69029,0.64303,0.62058,0.31614,2.18312,0.80758,1.50459,0.000825332,0.000825332,0.000825332
53,990.447,1.58588,0.77706,1.30692,0.68879,0.66595,0.59689,0.29363,2.06075,0.76032,1.42389,0.000808828,0.000808828,0.000808828
54,1008.7,1.57546,0.76738,1.29391,0.69777,0.6402,0.58599,0.3009,2.22199,0.81499,1.55368,0.000792325,0.000792325,0.000792325
55,1027.13,1.5797,0.77785,1.30414,0.6288,0.64449,0.59672,0.30486,2.17304,0.80077,1.48437,0.000775822,0.000775822,0.000775822
56,1046.44,1.56403,0.74269,1.28358,0.74134,0.65798,0.64668,0.33376,1.966,0.75796,1.37396,0.000759318,0.000759318,0.000759318
57,1064.01,1.5458,0.74996,1.28118,0.69708,0.6773,0.63322,0.3343,2.10161,0.75143,1.44082,0.000742815,0.000742815,0.000742815
58,1083.64,1.54062,0.73765,1.27451,0.66397,0.65308,0.62033,0.34223,2.13968,0.83081,1.49184,0.000726312,0.000726312,0.000726312
